99,99,1,10000
98,98,1,15000
97,97,1,20000
96,96,1,25000
95,95,1,30000
94,94,1,35000
93,93,1,40000
92,92,1,45000
91,91,1,50000
90,90,1,55000
89,89,1,60000
88,88,1,65000
87,87,1,70000
86,86,1,75000
85,85,1,80000
84,84,1,85000
83,83,1,90000
82,82,1,95000
81,81,1,100000
80,80,1,105000
79,79,1,110000
78,78,1,115000
77,77,1,120000
76,76,1,125000
75,75,1,130000
74,74,1,135000
73,73,1,140000
72,72,1,145000
71,71,1,150000
70,70,1,155000
69,69,1,160000
68,68,1,165000
67,67,1,170000
66,66,1,175000
65,65,1,180000
64,64,1,185000
63,63,1,190000
62,62,1,195000
61,61,1,200000
60,60,1,205000
59,59,1,210000
58,58,1,215000
57,57,1,220000
56,56,1,225000
55,55,1,230000
54,54,1,235000
53,53,1,240000
52,52,1,245000
51,51,1,250000
50,50,1,255000
49,49,1,260000
48,50,1,265000
47,51,1,270000
46,52,1,275000
45,53,1,280000
44,54,1,285000
43,55,1,290000
42,56,1,295000
41,57,1,300000
40,58,1,305000
39,59,1,310000
38,60,1,315000
37,61,1,320000
36,62,1,325000
35,63,1,330000
34,64,1,335000
33,65,1,340000
32,66,1,345000
31,67,1,350000
30,68,1,355000
29,69,1,360000
28,70,1,365000
27,71,1,370000
26,72,1,375000
25,73,1,380000
24,74,1,385000
23,75,1,390000
22,76,1,395000
21,77,1,400000
20,78,1,405000
19,79,1,410000
18,80,1,415000
17,81,1,420000
16,82,1,425000
15,83,1,430000
14,84,1,435000
13,85,1,440000
12,86,1,445000
11,87,1,450000
10,88,1,455000
9,89,1,460000
8,90,1,465000
7,91,1,470000
6,92,1,475000
5,93,1,480000
4,94,1,485000
3,95,1,490000
2,96,1,495000
1,97,1,500000
75,75,1,505000
74,75,1,510000
73,75,1,515000
72,75,1,520000
71,75,1,525000
70,75,1,530000
69,75,1,535000
68,75,1,540000
67,75,1,545000
66,75,1,550000
65,75,1,555000
64,75,1,560000
63,75,1,565000
62,75,1,570000
61,75,1,575000
60,75,1,580000
59,75,1,585000
58,75,1,590000
57,75,1,595000
56,75,1,600000
55,75,1,605000
54,75,1,610000
53,75,1,615000
52,75,1,620000
51,75,1,625000
50,75,1,630000
49,75,1,635000
48,75,1,640000
47,75,1,645000
46,75,1,650000
45,75,1,655000
44,75,1,660000
43,75,1,665000
42,75,1,670000
41,75,1,675000
40,75,1,680000
39,75,1,685000
38,75,1,690000
37,75,1,695000
36,75,1,700000
35,75,1,705000
34,75,1,710000
33,75,1,715000
32,75,1,720000
31,75,1,725000
30,75,1,730000
29,75,1,735000
28,75,1,740000
27,75,1,745000
26,75,1,750000
25,75,1,755000
